location,total_sqft,bath,bhk,price_per_sqft,price
Electronic City Phase II,1056.0,2.0,2,3699.810606060606,39.07
Uttarahalli,1440.0,2.0,3,4305.555555555556,62.0
Lingadheeranahalli,1521.0,3.0,3,6245.890861275477,95.0
Kothanur,1200.0,2.0,2,4250.0,51.0
Whitefield,1170.0,2.0,2,3247.863247863248,38.0
Marathahalli,1310.0,3.0,3,4828.244274809161,63.25
Whitefield,1800.0,2.0,3,3888.8888888888887,70.0
7th Phase JP Nagar,1000.0,2.0,2,3800.0,38.0
Gottigere,1100.0,2.0,2,3636.3636363636365,40.0
Sarjapur,2250.0,3.0,3,6577.777777777777,148.0
Mysore Road,1175.0,2.0,2,6255.31914893617,73.5
Bisuvanahalli,1180.0,3.0,3,4067.7966101694915,48.0
Raja Rajeshwari Nagar,1540.0,3.0,3,3896.103896103896,60.0
other,1100.0,2.0,2,4363.636363636364,48.0
Kengeri,600.0,1.0,1,2500.0,15.0
Binny Pete,1755.0,3.0,3,6951.5669515669515,122.0
Bellandur,1767.0,3.0,3,5829.088851160159,103.0
Thanisandra,510.0,1.0,1,4950.980392156863,25.25
other,1250.0,3.0,3,4480.0,56.0
Electronic City,660.0,1.0,2,3500.0,23.1
Whitefield,1610.0,3.0,3,5031.055900621118,81.0
Ramagondanahalli,1151.0,2.0,2,4237.185056472633,48.77
Electronic City,1025.0,2.0,3,4585.365853658536,47.0
Bisuvanahalli,1075.0,2.0,3,3255.813953488372,35.0
Hebbal,1760.0,2.0,3,6988.636363636364,123.0
Raja Rajeshwari Nagar,1693.0,3.0,3,3389.84051978736,57.39
Kasturi Nagar,1925.0,3.0,3,6493.506493506494,125.0
Kanakpura Road,700.0,2.0,2,5142.857142857143,36.0
Electronics City Phase 1,1070.0,2.0,2,4252.336448598131,45.5
Kundalahalli,1724.0,3.0,3,7250.580046403712,125.0
Chikkalasandra,1290.0,2.0,3,4350.387596899225,56.12
Uttarahalli,1143.0,2.0,2,3937.0078740157483,45.0
Murugeshpalya,1296.0,2.0,2,6250.0,81.0
Sarjapur  Road,1254.0,3.0,3,3030.3030303030305,38.0
other,600.0,1.0,1,6333.333333333333,38.0
Yelahanka,660.0,1.0,1,7272.727272727273,48.0
Kanakpura Road,1330.74,2.0,2,6897.665960292769,91.79
Doddathoguru,970.0,2.0,2,3402.061855670103,33.0
