iter	Passed	Remaining
0	4	1314
1	9	1353
2	13	1370
3	18	1340
4	22	1314
5	27	1323
6	30	1297
7	35	1284
8	40	1296
9	43	1270
10	48	1271
11	52	1255
12	56	1244
13	61	1248
14	65	1239
15	69	1239
16	75	1255
17	79	1249
18	83	1238
19	87	1229
20	91	1214
21	95	1208
22	100	1206
23	103	1194
24	108	1191
25	111	1178
26	115	1170
27	119	1164
28	123	1155
29	127	1149
30	131	1137
31	134	1130
32	138	1119
33	142	1114
34	145	1104
35	148	1090
36	152	1083
37	156	1077
38	160	1074
39	163	1065
40	168	1061
41	171	1053
42	176	1052
43	180	1048
44	183	1041
45	187	1034
46	190	1026
47	194	1020
48	197	1014
49	201	1008
50	205	1001
51	208	994
52	211	987
53	215	982
54	218	975
55	222	970
56	226	964
57	229	958
58	233	952
59	237	949
60	241	944
61	244	937
62	248	934
63	252	930
64	256	926
65	259	921
66	264	918
67	268	915
68	271	909
69	275	905
70	279	901
71	282	895
72	286	891
73	291	889
74	294	884
75	298	880
76	302	876
77	307	873
78	310	869
79	315	866
80	320	865
81	324	862
82	328	858
83	332	853
84	335	849
85	339	844
86	343	842
87	348	838
88	352	834
89	356	831
90	359	826
91	363	822
92	367	817
93	370	811
94	373	805
95	376	799
96	379	794
97	382	789
98	385	783
99	388	777
100	391	772
101	395	767
102	398	762
103	401	756
104	404	751
105	407	746
106	411	741
107	414	736
108	417	731
109	420	726
110	424	722
111	426	716
112	429	111	113	432	112	114	435	113	476	777
114	480	772
115	483	767
116	487	762
117	491	757
118	495	754
119	499	748
120	502	743
121	506	738
122	510	734
123	513	729
124	517	724
125	520	719
126	524	714
127	528	710
128	532	705
129	536	701
130	539	696
131	543	692
132	548	688
133	551	683
134	556	680
135	560	675
136	563	670
137	568	667
138	571	662
139	576	658
140	579	653
141	583	649
142	588	645
143	591	640
144	594	635
145	597	630
146	601	625
147	603	620
148	606	614
149	609	609
150	612	604
151	615	599
152	618	594
153	621	589
154	624	584
155	627	579
156	630	574
157	633	569
158	636	564
159	639	559
160	642	554
161	645	549
162	648	545
163	651	540
164	655	536
165	658	531
166	661	526
167	664	521
168	666	516
169	669	512
170	672	507
171	676	503
172	679	498
173	682	494
174	685	489
175	688	485
176	691	480
177	694	476
178	697	471
179	700	466
180	703	462
181	706	458
182	709	453
183	712	449
184	715	444
185	719	440
186	722	436
187	725	432
188	729	428
189	732	424
190	736	420
191	743	418
192	746	413
193	749	409
194	753	405
195	757	401
196	760	397
197	763	393
198	767	389
199	770	385
200	773	381
201	777	377
202	780	372
203	784	368
204	786	364
205	790	360
206	793	356
207	796	352
208	799	348
209	803	344
210	806	340
211	810	336
212	816	333
213	823	331
214	827	327
215	831	323
216	834	319
217	837	315
218	840	310
219	845	307
220	851	304
221	855	300
222	860	297
223	864	293
224	871	290
225	875	286
226	882	283
227	886	280
228	890	276
229	895	272
230	899	268
231	904	265
232	907	260
233	911	257
234	916	253
235	923	250
236	927	246
237	931	242
238	934	238
239	938	234
240	941	230
241	944	226
242	948	222
243	951	218
244	955	214
245	958	210
246	962	206
247	965	202
248	969	198
249	972	194
250	975	190
251	978	186
252	981	182
253	987	178
254	990	174
255	995	171
256	999	167
257	1002	163
258	1005	159
259	1008	155
260	1011	151
261	1014	147
262	1016	143
263	1020	139
264	1023	135
265	1026	131
266	1029	127
267	1033	123
268	1036	119
269	1040	115
270	1043	111
271	1047	107
272	1050	103
273	1053	100
274	1056	96
275	1059	92
276	1061	88
277	1064	84
278	1066	80
279	1069	76
280	1072	72
281	1075	68
282	1078	64
283	1080	60
284	1083	57
285	1086	53
286	1089	49
287	1092	45
288	1095	41
289	1098	37
290	1100	34
291	1103	30
292	1106	26
293	1109	22
294	1113	18
295	1116	15
296	1119	11
297	1123	7
298	1126	3
299	1129	0
